# tx,ty,tz,qx,qy,qz,qw
4.802480,-1.758064,-0.000007,0.000041,-0.000055,0.696570,0.717489
4.807964,-1.574830,-0.000053,-0.001028,0.001061,0.696572,0.717485
4.804320,-1.548715,0.000079,0.001015,-0.001031,0.697305,0.716773
4.809504,-1.358595,0.000559,0.000943,-0.000964,0.697358,0.716722
4.813714,-1.226776,-0.000027,0.000042,-0.000060,0.698477,0.715632
4.819521,-1.068828,-0.000001,-0.000138,0.000130,0.699307,0.714822
4.820588,-1.020573,-0.000001,0.000137,-0.000103,0.699318,0.714811
4.827887,-0.825156,-0.000046,-0.000083,0.000079,0.698943,0.715177
4.829909,-0.704843,-0.000009,-0.000458,0.000414,0.699154,0.714971
4.831900,-0.613226,-0.000045,-0.000128,0.000102,0.699378,0.714752
4.833051,-0.560612,-0.000065,0.000024,-0.000039,0.699440,0.714691
4.838122,-0.404872,-0.000055,-0.001107,0.001082,0.699363,0.714765
4.843168,-0.154590,-0.000042,-0.000039,0.000046,0.698791,0.715326
4.849579,0.013299,-0.000017,-0.000272,0.000268,0.699188,0.714938
4.851265,0.176286,-0.000011,-0.000015,0.000005,0.699388,0.714742
4.853042,0.262217,-0.000027,0.000039,-0.000023,0.699482,0.714650
4.852781,0.364398,-0.000010,-0.000149,0.000149,0.699543,0.714591
4.853646,0.405692,-0.000023,-0.000055,0.000073,0.699542,0.714591
4.855970,0.590093,0.000092,0.000827,-0.000838,0.699780,0.714358
4.859331,0.751961,0.000390,0.000303,-0.000312,0.699707,0.714430
4.859303,0.775552,0.000027,0.000336,-0.000356,0.678397,0.734695
4.859289,0.775533,0.000027,0.000337,-0.000368,0.712035,0.702144
4.859411,0.775576,0.000027,0.000324,-0.000367,0.770676,0.637227
4.859101,0.775693,0.000027,0.000291,-0.000368,0.838358,0.545119
4.863245,0.772506,0.000000,0.000044,0.000040,0.918251,0.395998
4.863368,0.772367,0.000000,0.000053,0.000067,0.946521,0.322644
4.874509,0.778992,-0.000000,-0.000025,0.000033,0.983988,0.178236
4.781280,0.821532,-0.000018,0.000405,0.000816,0.982082,0.188453
4.606688,0.888438,-0.000008,-0.000077,-0.000004,0.983477,0.181033
4.593960,0.893257,-0.000010,0.000011,0.000005,0.995085,0.099021
4.566057,0.894198,-0.000013,0.002412,0.000152,0.999996,0.001560
4.466978,0.891859,-0.000021,-0.000666,0.001082,0.999957,-0.009191
4.470407,0.905528,0.000020,0.000751,-0.000784,0.999976,-0.006869
4.468266,1.061328,0.000213,0.000756,-0.000613,0.999975,-0.006962
4.323086,1.134810,-0.000323,-0.001268,-0.001069,0.999908,0.013455
4.148528,1.145879,-0.000015,-0.000295,-0.000002,0.999911,0.013369
4.093983,1.147352,-0.000024,-0.000009,0.000002,0.999912,0.013295
4.094162,1.148838,-0.000024,0.000332,0.000003,0.999993,0.003853
4.092959,0.983848,-0.000024,0.000040,-0.000008,0.999943,0.010716
4.093234,0.996769,-0.000024,0.000001,-0.000163,0.999942,0.010783
4.038216,1.016434,-0.000045,-0.001960,-0.000194,0.999996,0.002109
3.840451,1.014003,-0.000652,-0.001301,-0.000008,0.999998,0.001482
3.616706,1.013515,-0.000159,-0.000239,0.000001,1.000000,0.000048
3.393438,1.010242,-0.000011,-0.000001,0.000002,0.999999,0.001415
3.228983,1.008595,-0.000011,-0.001398,0.000007,0.999999,0.000043
3.215115,1.008595,-0.000016,-0.000072,0.000007,1.000000,0.000089
3.023400,1.011790,0.000029,-0.000270,-0.000021,0.999999,0.001299
2.941751,1.011976,0.000109,0.000632,0.000009,0.999999,0.001329
2.731138,1.011798,-0.000019,-0.000003,-0.000002,1.000000,-0.000029
2.625264,1.013493,-0.000005,0.000149,-0.000017,1.000000,0.000475
2.456834,1.013548,-0.000035,-0.000236,0.000027,1.000000,0.000530
2.411397,1.016328,-0.000008,0.000113,0.000005,1.000000,0.000919
2.225106,1.016670,-0.000053,-0.000791,0.000018,0.999999,0.000903
2.208529,1.014300,-0.000006,-0.000065,0.000017,0.999705,-0.024306
2.208639,1.014323,-0.000006,0.000032,-0.000055,0.995956,-0.089837
2.208697,1.014291,-0.000006,0.000058,-0.000056,0.985775,-0.168072
2.208780,1.014347,-0.000006,-0.000020,0.000022,0.970644,-0.240521
2.210249,1.016520,-0.000000,-0.000049,0.000141,0.926596,-0.376059
2.178355,0.986625,-0.000006,0.000138,0.000018,0.925102,-0.379718
2.013748,0.824012,-0.000036,-0.000083,0.000004,0.920192,-0.391467
1.961625,0.793597,-0.000000,-0.000084,-0.000002,-0.863400,0.504520
1.961794,0.793705,-0.000000,-0.000059,-0.000033,-0.838237,0.545307
1.961802,0.793842,-0.000000,-0.000022,0.000002,-0.802481,0.596678
1.936098,0.712905,-0.000002,0.000010,-0.000070,-0.804458,0.594010
1.893860,0.645156,0.000000,0.000040,0.000093,-0.777996,0.628270
1.880497,0.574696,-0.000026,0.000040,0.000162,-0.770017,0.638024
1.876072,0.549497,-0.000035,-0.000097,0.000060,-0.762659,0.646801
1.849896,0.414143,-0.000072,0.000841,0.000877,-0.757489,0.652847
1.841586,0.395573,0.000022,-0.000250,-0.000236,-0.727901,0.685682
1.841587,0.395574,0.000022,-0.000272,-0.000209,-0.729177,0.684325
1.841587,0.395568,0.000022,-0.000272,-0.000207,-0.729115,0.684391
1.841588,0.395564,0.000022,-0.000272,-0.000209,-0.729168,0.684335
